"Name","AltName","OrigName","County1","County2","County3","State","Established","Continuous","Discontinued","StampIndex","ID","OrigCounty","Problem"
"BEDFORD MEETINGHOUSE",NA,"BEDFORD MEETINGHOUSE","HILLSBORO","",NA,"NH","1821",TRUE,"1827?","9",3797,"Hillsboro",TRUE
"CHESTERVILLE",NA,"CHESTERVILLE","PONTOTOC","",NA,"MS","1853",FALSE,"10Jun","4",10527,"Pontotoc",TRUE
"FLORA",NA,"FLORA","LINCOLN","",NA,"TN","1868",TRUE,"?","",20347,"Lincoln",TRUE
"GODING",NA,"GODING","AROOSTOOK","",NA,"ME","1916",TRUE,"?","",22887,"Aroostook",TRUE
"HIGHPOINT",NA,"HIGHPOINT","MARSHALL","",NA,"AL","1898",TRUE,"18903","6",26580,"Marshall",TRUE
"LONG POND",NA,"LONG POND (2)","SOMERSET","",NA,"ME","1908",TRUE,"?","3",33672,"Somerset",TRUE
"MAPLE WOOD",NA,"MAPLE WOOD","YORK","",NA,"ME","1881",TRUE,"1987?","1",35200,"York",TRUE
"NORTH COVENTRY",NA,"NORTH COVENTRY","TOLLAND","",NA,"CT","1802",TRUE,"1830?","9",41122,"Tolland",TRUE
"NUMBER SIX",NA,"NUMBER SIX (2)","PISCATAQUIA","",NA,"ME","1880",TRUE,"1884?","9",41796,"Piscataquia",TRUE
"PARKERS","PARKER'S","PARKER(')S","LEWIS","",NA,"NY","1890",TRUE,"19173","3",43835,"Lewis",TRUE
"SCOTTSVILLE",NA,"SCOTTSVILLE","BIBB","",NA,"AL","1835",FALSE,"19093","4",51543,"Bibb",TRUE
"SLAB CITY",NA,"SLAB CITY","GRAFTON","",NA,"NH","1854",TRUE,"1854?","7",53106,"Grafton",TRUE
"SOUTH NEWBURY",NA,"SOUTH NEWBURY","MERRIMACK","",NA,"NH","1850",TRUE,"1987?","1",54076,"Merrimack",TRUE
"WEST WEARE",NA,"WEST WEARE","HILLSBORO","",NA,"NH","1873",TRUE,"1874?","7",61883,"Hillsboro",TRUE
"WHITESTOWN",NA,"WHITESTOWN","OKTIBBEHA","",NA,"MS","1900",TRUE,"21Mar","5",62428,"Oktibbeha",TRUE
"WOLF CREEK",NA,"WOLF CREEK","COCKE","",NA,"TN","1859",FALSE,"","5",63326,"Cocke",TRUE
"PINE PARK",NA,"PINE PARK","BIBB","",NA,"AL","1830",TRUE,"18323","9",45258,"Bibb",TRUE
"SMILAX",NA,"SMILAX","JACKSON","",NA,"AL","1900",FALSE,"19223","3",53262,"Jackson",TRUE
"ANDREWS AIR FORCE BASE",NA,"ANDREWS AIR FORCE BASE","DORCHESTER","",NA,"MD","2000?",TRUE,NA,"0",65542,"Dorchester",TRUE
"BONNY BLUE",NA,"BONNY BLUE","LEE","",NA,"VA","1928?",FALSE,"1962","1",69883,"Lee",TRUE
"BRIM",NA,"BRIM","PATRICK","",NA,"VA","1934?",TRUE,"1952","1",70725,"Patrick",TRUE
"CAPITOL HEIGHTS",NA,"CAPITOL HEIGHTS (3)","PRINCE GEORGES","",NA,"MD","2000?",TRUE,NA,"0",72642,"Prince Georges",TRUE
"CARTERS ISLAND","CARTER'S ISLAND","CARTER(')S ISLAND","BEDFORD","",NA,"VA","1886",TRUE,"1903?","5",72962,"Bedford",TRUE
"CLAIBORNE",NA,"CLAIBORNE","TALBOT","",NA,"MD","1893",FALSE,"1986?","1",74406,"Talbot",TRUE
"DEPOT",NA,"DEPOT","MONROE","",NA,"MI/OH","1823",TRUE,"1825","9",78268,"Monroe",TRUE
"FORESTVILLE",NA,"FORESTVILLE (2)","PRINCE GEORGES","",NA,"MD","2000?",TRUE,NA,"0",83258,"Prince Georges",TRUE
"GARRISON",NA,"GARRISON (2)","BALTIMORE","",NA,"MD","1891",TRUE,"1996?","1",84467,"Baltimore",TRUE
"GRASS CREEK VILLAGE",NA,"GRASS CREEK VILLAGE","FULTON","",NA,"IN","188",TRUE,"1884","6",85990,"Fulton",TRUE
"KNOXVILLE",NA,"KNOXVILLE","FREDERICK","",NA,"MD","1829",FALSE,"2002?","1",93091,"Frederick",TRUE
"MANHATTAN",NA,"MANHATTAN","MONROE","",NA,"MI/OH","1836",TRUE,"1836","9",97035,"Monroe",TRUE
"MILAM",NA,"MILAM","HARDY","",NA,"WV","1882",FALSE,"1999?","1",99148,"Hardy",TRUE
"MUMFORD",NA,"MUMFORD","ELIZABETH CITY","",NA,"VAy","1881",TRUE,"1882","8",101069,"Elizabeth City",TRUE
"MUNSON",NA,"MUNSON","LENAWEE","",NA,"MI","1881",TRUE,"1974?","1",101116,"Lenawee",TRUE
"NEWPORT",NA,"NEWPORT","MONROE","",NA,"MI","1836",FALSE,"1974?","1",102408,"Monroe",TRUE
"OWASCO",NA,"OWASCO","CARROLL","",NA,"IN","1883",TRUE,"1917?","3",104677,"Carroll",TRUE
"PORT LAWRENCE",NA,"PORT LAWRENCE (1)","MONROE","",NA,"MI/OH","1825",TRUE,"1834","9",107351,"Monroe",TRUE
"PORT LAWRENCE",NA,"PORT LAWRENCE (2)","MONROE","",NA,"MI/OH","1834",TRUE,"1835","9",107352,"Monroe",TRUE
"SUITLAND",NA,"SUITLAND (2)","PRINCE GEORGES","",NA,"MD","2000?",TRUE,NA,"0",116060,"Prince Georges",TRUE
"TEMPLE HILLS",NA,"TEMPLE HILLS","ANNE ARUNDEL","",NA,"MD","2000?",TRUE,NA,"0",117054,"Anne Arundel",TRUE
"TOLEDO",NA,"TOLEDO","MONROE","",NA,"MI/OH","1835",TRUE,"1836","9",117686,"Monroe",TRUE
"TREMAINVILLE",NA,"TREMAINVILLE","MONROE","",NA,"MI/OH","1834",TRUE,"1836","9",118014,"Monroe",TRUE
"UNDERWOOD",NA,"UNDERWOOD","CLARK","",NA,"IN","1893",FALSE,"1966?","1",118668,"Clark",TRUE
"WAWASEE",NA,"WAWASEE","KOSCIUSKO","",NA,"IN","1893",FALSE,"1938?","2",120775,"Kosciusko",TRUE
"WINGATE",NA,"WINGATE","DORCHESTER","",NA,"MD","1891",TRUE,"2000?","1",122630,"Dorchester",TRUE
"YUKON",NA,"YUKON","MCDOWELL","",NA,"WV","1906",TRUE,"997","1",123650,"McDowell",TRUE
"BIRD NEST",NA,"BIRD NEST","PAWNEE","",NA,"KS","188",FALSE,"1891","6",127329,"Pawnee",TRUE
"BUFFALO",NA,"BUFFALO","WILSON","",NA,"KS","186",FALSE,NA,"0",128882,"Wilson",TRUE
"HASSE",NA,"HASSE","COMANCHE","",NA,"TX","190",FALSE,NA,"0",140712,"Comanche",TRUE
"HAYSVILLE",NA,"HAYSVILLE","JOHNSON","",NA,"KS","185",FALSE,"1860","8",140906,"Johnson",TRUE
"LARNED",NA,"LARNED","ROGER MILLS","",NA,"OK","190",FALSE,"1906","6",145252,"Roger Mills",TRUE
"LAWN",NA,"LAWN","TAYLOR","",NA,"TX","189",FALSE,NA,"0",145399,"Taylor",TRUE
"LAZBUDDIE",NA,"LAZBUDDIE","PARMER","",NA,"TX","192",FALSE,NA,"0",145448,"Parmer",TRUE
"MISSLER",NA,"MISSLER","MEADE","",NA,"KS","191",FALSE,"1933","2",149236,"Meade",TRUE
"NIX",NA,"NIX","LAMPASAS","",NA,"TX","188",FALSE,"1906","5",151022,"Lampasas",TRUE
"NORBECK",NA,"NORBECK","FAULK","",NA,"SD","192",FALSE,"1971","1",151114,"Faulk",TRUE
"PETERSBURGH",NA,"PETERSBURGH","DONIPHAN","",NA,"KS","185",FALSE,"1859","9",153468,"Doniphan",TRUE
"PLUMER",NA,"PLUMER","DIVIDE","",NA,"ND","190",FALSE,"1923","3",154159,"Divide",TRUE
"RETREAT",NA,"RETREAT","HODGEMAN","",NA,"KS","187",FALSE,"1879","9",155758,"Hodgeman",TRUE
"STATE LINE",NA,"STATE LINE","CHEYENNE","",NA,"KS","188",FALSE,"1886","8",160051,"Cheyenne",TRUE
