"","State","County1","n.x","n.y"
"1","AK","",542,NA
"2","AL","CONECUN",92,NA
"3","AL","DE KALB",134,NA
"4","AL","SAINT CLAIR",83,NA
"5","AR","SAINT FRANCIS",73,NA
"6","CO","GREENWOOD",1,NA
"7","CT","UNKNOWN",3,NA
"8","DC","",32,NA
"9","FL","ALCHUA",4,NA
"10","FL","BADFORD",1,NA
"11","FL","BROWNRD",1,NA
"12","FL","CALHOLUN",1,NA
"13","FL","DADE",44,NA
"14","FL","DADO",1,NA
"15","FL","DE SOTO",1,NA
"16","FL","GADSEN",1,NA
"17","FL","GASDEN",2,NA
"18","FL","GASDSEN",1,NA
"19","FL","HIGHLAND",1,NA
"20","FL","HILLSBORO",88,NA
"21","FL","HOLMS",1,NA
"22","FL","INDINA RIVER",1,NA
"23","FL","JACKSON]",1,NA
"24","FL","MARIAN",1,NA
"25","FL","MARTIT",1,NA
"26","FL","OKSLOOSA",1,NA
"27","FL","OLALOOSA",1,NA
"28","FL","OSCELOA",1,NA
"29","FL","PINOELLAS",1,NA
"30","FL","SANT ROSA",2,NA
"31","FL","SARASOTTA",1,NA
"32","FL","SARATOGA",1,NA
"33","FL","SEMONOLE",2,NA
"34","FL","ST JOHNS",55,NA
"35","FL","ST LUCIE",15,NA
"36","FL","SUWANEE",9,NA
"37","FL","WAKILLA",1,NA
"38","FL","WASHIINGTON",1,NA
"39","GA","CHEROKEE NATION",4,NA
"40","GA","PUTMAN",34,NA
"41","GA","UNKNOWN",2,NA
"42","HI","LANAI",2,NA
"43","HI","MOLOKAI",14,NA
"44","HI","OAHU",49,NA
"45","IL","DE KALB",67,NA
"46","IL","DU PAGE",65,NA
"47","IL","LA SALLE",97,NA
"48","IL","PLATT",29,NA
"49","IL","SAINT CLAIR",78,NA
"50","IN","IND. TERR.",3,NA
"51","IN","LA PORTE",56,NA
"52","IN","MIAMI NAT.",1,NA
"53","IN","SAINT JOSEPH",40,NA
"54","IN","UNKNOWN",8,NA
"55","KS","ARAPAHOE",21,NA
"56","KS","B8368LEAVENWORTH",1,NA
"57","KS","BODGEMAN",1,NA
"58","KS","BUSH",1,NA
"59","KS","COWLEV",1,NA
"60","KS","DICKSON",1,NA
"61","KS","DOHIPHAN",1,NA
"62","KS","EILSWORTH",1,NA
"63","KS","FINNEV",1,NA
"64","KS","GOYE",1,NA
"65","KS","HARVEV",1,NA
"66","KS","LEAVENW",4,NA
"67","KS","MI AMI",1,NA
"68","KS","MONTGOMER",3,NA
"69","KS","POTTAWAT.",39,NA
"70","KS","POTTAWATAMIE",9,NA
"71","KS","ROOK",1,NA
"72","KS","S:IMNER",1,NA
"73","KS","SHATYNEE",1,NA
"74","KS","SIMNER",1,NA
"75","KS","SNLITH",1,NA
"76","KS","STATION",1,NA
"77","KY","",1,NA
"78","KY","BRECKENRIDGE",94,NA
"79","KY","BULITT",46,NA
"80","KY","CARROLLTON",19,NA
"81","KY","UNKNOWN",3,NA
"82","KY","WOLF",48,NA
"83","LA","LA SALLE",32,NA
"84","LA","ORLEANS TERR.",1,NA
"85","LA","SAINT BERNARD",17,NA
"86","LA","SAINT CHARLES",30,NA
"87","LA","SAINT HELENA",27,NA
