"Name","AltName","OrigName","County1","County2","County3","State","Established","Continuous","Discontinued","StampIndex","ID","OrigCounty","GNIS.Name","GNIS.County","GNIS.State","GNIS.FEATURE_ID","GNIS.Feature.Class","GNIS.OrigName","GNIS.OrigCounty","GNIS.Latitude","GNIS.Longitude","GNIS.ELEV_IN_M","GNIS.ELEV_IN_FT","GNIS.Match","GNIS.Dist"
"ACRON",NA,"ACRON","HALE",NA,NA,"AL","1871",TRUE,"1883","5",161,"Hale","AKRON","HALE","AL","168628","Post Office","Akron Post Office","Hale","32.8775695","-87.7412638","40","131",TRUE,0.8
"ADAM'S STATION","ADAM'S","ADAM'S STATION","ROBERTSON",NA,NA,"TN","1860",TRUE,"1898","2",239,"Robertson","ADAMS STATION","ROBERTSON","TN","1650461","Post Office","Adams Station Post Office","Robertson","36.5826178","-87.0670431","175","574",TRUE,0.928571428571429
"ADAMSVILLE",NA,"ADAMSVILLE","BARTOW",NA,NA,"GA","1839",TRUE,"1842","8",256,"Bartow","ADAIRSVILLE","BARTOW","GA","1705277","Post Office","Adairsville Post Office","Bartow","34.3748255","-84.9302326","218","715",TRUE,0.8
"ADELL",NA,"ADELL","MERCER",NA,NA,"MO","1874",TRUE,"1904","5",302,"Mercer","ADEL","MERCER","MO","759956","Post Office","Adel Post Office","Mercer","40.5313948","-93.6691114","316","1037",TRUE,0.8
"AGUIILLA",NA,"AGUIILLA","WASHINGTON",NA,NA,"AL","1880",TRUE,"1922","3",394,"Washington","AQUILLA","WASHINGTON","AL","166082","Post Office","Aquilla Post Office (historical)","Washington","31.6937708","-88.4500233","108","354",TRUE,0.75
"ALANDAR",NA,"ALANDAR","BERKSHIRE",NA,NA,"MA","1889",TRUE,"1921","5",490,"Berkshire","ALANDER","BERKSHIRE","MA","618850","Post Office","Alander Post Office (historical)","Berkshire","42.0862021","-73.4620633","503","1650",TRUE,0.857142857142857
"ALAPATTAH",NA,"ALAPATTAH","MIAMI-DADE",NA,NA,"FL","1898",TRUE,"1906","4",496,"Dade","ALLAPATTAH","MIAMI-DADE","FL","2449765","Post Office","Allapattah Post Office","Miami-Dade","25.8023613","-80.2253693","2","7",TRUE,0.888888888888889
"ALEXANDER CITYT",NA,"ALEXANDER CITYT","TALLAPOOSA",NA,NA,"AL","1873",TRUE,NA,"0",624,"Tallapoosa","ALEXANDER CITY","TALLAPOOSA","AL","2789060","Post Office","Alexander City Post Office","Tallapoosa","32.942266","-85.9565078","213","699",TRUE,0.933333333333333
"ALTENBERG",NA,"ALTENBERG","PERRY",NA,NA,"MO","1854",TRUE,NA,"0",977,"Perry","ALTENBURG","PERRY","MO","2782693","Post Office","Altenburg Post Office","Perry","37.629374","-89.5891521","174","571",TRUE,0.888888888888889
"ANNEMARIE",NA,"ANNEMARIE","WILCOX",NA,NA,"AL","1893",TRUE,"1990","1",1343,"Wilcox","ANNEMANIE","WILCOX","AL","167597","Post Office","Annemanie Post Office (historical)","Wilcox","32.053481","-87.5608339","24","79",TRUE,0.888888888888889
"ANNEVILLE",NA,"ANNEVILLE","BERKELEY",NA,NA,"SC","1880",TRUE,"1900","4",1347,"Berkeley","PINEVILLE","BERKELEY","SC","2489873","Post Office","Pineville Post Office","Berkeley","33.4306715","-80.024666","25","82",TRUE,0.777777777777778
"AQUASHICCLA",NA,"AQUASHICCLA","CARBON",NA,NA,"PA","1862",TRUE,NA,"0",1507,"Carbon","AQUASHICOLA","CARBON","PA","2773066","Post Office","Aquashicola Post Office","Carbon","40.8112467","-75.5907182","126","413",TRUE,0.909090909090909
"ASTABULA",NA,"ASTABULA","LAKE",NA,NA,"FL","1882",TRUE,"1894","3",2053,"Lake","ASTATULA","LAKE","FL","2492682","Post Office","Astatula Post Office","Lake","28.7205232","-81.733356","25","82",TRUE,0.875
"AVENTINA",NA,"AVENTINA","MIAMI-DADE",NA,NA,"FL","1916",TRUE,"1924","3",2375,"Dade","AVENTURA","MIAMI-DADE","FL","2078825","Post Office","Aventura Post Office","Miami-Dade","25.9691763","-80.1297659","2","7",TRUE,0.75
"BARNAGAT",NA,"BARNAGAT","OCEAN",NA,NA,"NJ","1826",FALSE,"1850","4",3017,"Ocean","BARNEGAT","OCEAN","NJ","2802102","Post Office","Barnegat Post Office","Ocean","39.7568012","-74.235991","27","89",TRUE,0.875
"BARRYVILLE",NA,"BARRYVILLE","DECATUR",NA,NA,"TN","1892",TRUE,"1895","6",3165,"Decatur","PERRYVILLE","DECATUR","TN","1650590","Post Office","Perryville Post Office (historical)","Decatur","35.6214582","-88.0405877","121","397",TRUE,0.8
"BAY PORT",NA,"BAY PORT","SUFFOLK",NA,NA,"NY","1870",FALSE,NA,"0",3425,"Suffolk","BAYPORT","SUFFOLK","NY","2075836","Post Office","Bayport Post Office (historical)","Suffolk","40.7383333","-73.0505556","4","13",TRUE,0.875
"BAY SHORE",NA,"BAY SHORE","LEE",NA,NA,"FL","1925",TRUE,"1942","2",3429,"Lee","BAYSHORE","LEE","FL","2026945","Post Office","Bayshore Post Office (historical)","Lee","26.7153469","-81.8234178","3","10",TRUE,0.888888888888889
"BEAN'S STATION","BEAN'S","BEAN'S STATION","GRAINGER",NA,NA,"TN","1807",FALSE,"1901","4",3583,"Grainger","BEANS STATION","GRAINGER","TN","1650522","Post Office","Beans Station","Grainger","36.3450654","-83.2934547","339","1112",TRUE,0.928571428571429
"BEARLAKE",NA,"BEARLAKE","WARREN",NA,NA,"PA","1895",TRUE,"1905","5",3631,"Warren","BEAR LAKE","WARREN","PA","2779944","Post Office","Bear Lake Post Office","Warren","41.9931287","-79.5026304","472","1549",TRUE,0.875
"BELL TOWN",NA,"BELL TOWN","MONROE",NA,NA,"TN","1852",TRUE,"1949","1",3998,"Monroe","BELLTOWN","MONROE","TN","1648556","Post Office","Belltown Post Office","Monroe","35.4292446","-84.250751","265","869",TRUE,0.888888888888889
"BELLEMONTE",NA,"BELLEMONTE","LANCASTER",NA,NA,"PA","1849",TRUE,"1908","3",4061,"Lancaster","BELLEMONT","LANCASTER","PA","1214402","Post Office","Bellemont Post Office (historical)","Lancaster","39.9948235","-76.101343","118","387",TRUE,0.9
"BELLEVILLE",NA,"BELLEVILLE","MONTGOMERY",NA,NA,"MO","1875",TRUE,"1910","4",4076,"Montgomery","WELLSVILLE","MONTGOMERY","MO","2782799","Post Office","Wellsville Post Office","Montgomery","39.0708719","-91.5681204","250","820",TRUE,0.8
"BELLVIEW",NA,"BELLVIEW","MARION",NA,NA,"FL","1883",TRUE,"1884","4",4123,"Marion","BELLEVIEW","MARION","FL","2053760","Post Office","Belleview Post Office","Marion","29.0617416","-82.0688208","35","115",TRUE,0.875
"BELLVILLE",NA,"BELLVILLE","MIFFLIN",NA,NA,"PA","1800",TRUE,NA,"0",4133,"Mifflin","BELLEVILLE","MIFFLIN","PA","2772592","Post Office","Belleville Post Office","Mifflin","40.6079331","-77.716593","261","856",TRUE,0.888888888888889
"BELLVUE",NA,"BELLVUE","DAVIDSON",NA,NA,"TN","1964",TRUE,"1976","1",4135,"Davidson","BELLEVUE","DAVIDSON","TN","1652324","Post Office","Bellevue Post Office","Davidson","36.0766877","-86.9484813","173","568",TRUE,0.857142857142857
"BIG CHUM",NA,"BIG CHUM","LAUDERDALE",NA,NA,"AL","1880",TRUE,"1881","8",4789,"Lauderdale","BIRCHUM","LAUDERDALE","AL","166175","Post Office","Birchum Post Office (historical)","Lauderdale","34.9511965","-87.871142","219","718",TRUE,0.75
"BISMARK",NA,"BISMARK","ST. FRANCOIS",NA,NA,"MO","1868",TRUE,NA,"0",5066,"St. Francois","BISMARCK","ST. FRANCOIS","MO","2782882","Post Office","Bismarck Post Office","St. Francois","37.7679183","-90.6247267","315","1033",TRUE,0.857142857142857
"BISMARK",NA,"BISMARK","SHELBY",NA,NA,"AL","1892",TRUE,"1899","4",5067,"Shelby","BISMARCK","SHELBY","AL","168794","Post Office","Bismarck Post Office","Shelby","33.0745748","-86.8847071","120","394",TRUE,0.857142857142857
"BLAINVEVILLE",NA,"BLAINVEVILLE","GRAINGER",NA,NA,"TN","1917",TRUE,"1923","3",5286,"Grainger","BLAINVILLE","GRAINGER","TN","1651592","Post Office","Blainville Post Office","Grainger","36.1558274","-83.7026304","291","955",TRUE,0.833333333333333
"BLUE  EYE",NA,"BLUE  EYE","STONE",NA,NA,"MO","1870",FALSE,NA,"0",5571,"Stone","BLUE EYE","STONE","MO","2782817","Post Office","Blue Eye Post Office","Stone","36.4989177","-93.3971641","393","1289",TRUE,0.888888888888889
"BOARTUSH",NA,"BOARTUSH","WINSTON",NA,NA,"AL","1885",TRUE,"1886","8",5714,"Winston","BOARTUSK","WINSTON","AL","167157","Post Office","Boartusk Post Office (historical)","Winston","34.1917665","-87.6222458","269","883",TRUE,0.875
"BOCARATONE",NA,"BOCARATONE","PALM BEACH",NA,NA,"FL","1899",TRUE,"1923","1",5740,"Palm Beach","BOCA RATON","PALM BEACH","FL","2447813","Post Office","Boca Raton Post Office","Palm Beach","26.3777084","-80.1202273","4","13",TRUE,0.8
"BOGUE CHITO",NA,"BOGUE CHITO (1)","LINCOLN",NA,NA,"MS","1822",TRUE,"1835","7",5792,"Lincoln","BOGUE CHITTO","LINCOLN","MS","2768711","Post Office","Bogue Chitto Post Office","Lincoln","31.4395962","-90.4548206","130","427",TRUE,0.909090909090909
"BOGUE CHITO",NA,"BOGUE CHITO (2)","LINCOLN",NA,NA,"MS","1870",TRUE,NA,"0",5793,"Lincoln","BOGUE CHITTO","LINCOLN","MS","2768711","Post Office","Bogue Chitto Post Office","Lincoln","31.4395962","-90.4548206","130","427",TRUE,0.909090909090909
"BONDVILLE",NA,"BONDVILLE","HAYWOOD",NA,NA,"TN","1899",TRUE,"1900","6",5920,"Haywood","WOODVILLE","HAYWOOD","TN","1651146","Post Office","Woodville Post Office (historical)","Haywood","35.7667432","-89.436462","141","463",TRUE,0.777777777777778
"BOOMOSEEN",NA,"BOOMOSEEN","RUTLAND",NA,NA,"VT","1890",TRUE,NA,"0",5996,"Rutland","BOMOSEEN","RUTLAND","VT","1921755","Post Office","Bomoseen Post Office","Rutland","43.6083662","-73.2097296","138","453",TRUE,0.888888888888889
"BRIDESBURGH",NA,"BRIDESBURGH","PHILADELPHIA",NA,NA,"PA","1841",TRUE,"1863","6",6787,"Philadelphia","BRIDESBURG","PHILADELPHIA","PA","2347161","Post Office","Bridesburg Post Office","Philadelphia","39.9978309","-75.0742723","6","20",TRUE,0.909090909090909
"BRISTON",NA,"BRISTON (2)","LINCOLN",NA,NA,"ME","1843",TRUE,NA,"0",6976,"Lincoln","BRISTOL","LINCOLN","ME","1909733","Post Office","Bristol Post Office","Lincoln","43.9586397","-69.5097502","22","72",TRUE,0.857142857142857
"BROWNWOOD",NA,"BROWNWOOD","TUSCALOOSA",NA,NA,"AL","1926",TRUE,"1966","1",7349,"Tuscaloosa","BROOKWOOD","TUSCALOOSA","AL","2789051","Post Office","Brookwood Post Office","Tuscaloosa","33.2553167","-87.3334313","178","584",TRUE,0.777777777777778
"BRYAND POND",NA,"BRYAND POND","OXFORD",NA,NA,"ME","1852",TRUE,NA,"0",7464,"Oxford","BRYANT POND","OXFORD","ME","1907944","Post Office","Bryant Pond Post Office","Oxford","44.3781149","-70.6461784","216","709",TRUE,0.909090909090909
"BUCHANNAN",NA,"BUCHANNAN (CH)","HARALSON",NA,NA,"GA","1857",TRUE,NA,"0",7517,"Haralson","BUCHANAN","HARALSON","GA","350692","Post Office","Buchanan Post Office","Haralson","33.8018626","-85.1877856","378","1240",TRUE,0.888888888888889
"BUCKATANNY",NA,"BUCKATANNY","WAYNE",NA,NA,"MS","1854",TRUE,"1854","8",7557,"Wayne","BUCKATUNNA","WAYNE","MS","2768833","Post Office","Buckatunna Post Office","Wayne","31.5407342","-88.5288827","46","151",TRUE,0.8
"BUSTLETOWN",NA,"BUSTLETOWN","PHILADELPHIA",NA,NA,"PA","1803",TRUE,"1808","9",8064,"Philadelphia","BUSTLETON","PHILADELPHIA","PA","2347344","Post Office","Bustleton Post Office","Philadelphia","40.0995402","-75.0294554","48","157",TRUE,0.9
"BUTTON",NA,"BUTTON","BEAUFORT",NA,NA,"SC","1896",TRUE,"1899","7",8113,"Beaufort","BURTON","BEAUFORT","SC","2489776","Post Office","Burton Post Office","Beaufort","32.4388667","-80.7035869","4","13",TRUE,0.833333333333333
"CAMACK","CAMAC CARMACK","CAMACK (CAMAC) (CARMACK)","WARREN",NA,NA,"GA","1840",TRUE,NA,"0",8463,"Warren","CAMAK","WARREN","GA","2792410","Post Office","Camak Post Office","Warren","33.4520046","-82.6468083","179","587",TRUE,0.833333333333333
"CATAWISSEE",NA,"CATAWISSEE","COLUMBIA",NA,NA,"PA","1800",TRUE,"1823","5",9392,"Columbia","CATAWISSA","COLUMBIA","PA","2772627","Post Office","Catawissa Post Office","Columbia","40.9530977","-76.4616677","156","512",TRUE,0.8
