FEATURE_ID|FEATURE_NAME|FEATURE_NAME_OFFICIAL|DATE_CREATED
399|Agua Sal Creek|Y|02/08/1980
400|Agua Sal Wash|Y|02/08/1980
401|Aguaje Draw|Y|01/14/2008
402|Arlington State Wildlife Area|Y|02/08/1980
403|Bar X Wash|Y|02/08/1980
404|Bis Ii Ah Wash|Y|02/08/1980
405|Brawley Wash|Y|02/08/1980
405|Brawly Wash||
406|Cement Trough Canyon|Y|02/08/1980
407|Corn Creek Wash|Y|02/08/1980
407|Corn Creek||
407|Oraibi Wash||
408|Coyote Wash|Y|02/08/1980
408|Castle Butte Wash||
408|Corn Creek||
408|Corn Wash||
408|Ki-ote-Te wash||
408|South Fork Corn Wash||
408|Whe-yol-da-sah Wash||
409|Ehrenberg Wash|Y|02/08/1980
409|Cinnabar Wash||
410|Flattop Draw|Y|02/08/1980
411|Granite Wash|Y|02/08/1980
412|Grayhorse Canyon|Y|02/08/1980
413|Greenbush Draw|Y|02/08/1980
413|Green Brush Draw||
414|Kinlichee Creek|Y|02/08/1980
414|Ganado Wash||
414|Kin Li Chee Creek||
414|Kin-Li-Chee Creek||
415|Le Fevre Canyon|Y|02/08/1980
415|Lefebre Canyon||
416|Little Lithodendron Wash|Y|02/08/1980
416|Carrizo Wash||
416|Little Carrizo Wash||
417|Lukachukai Creek|Y|02/08/1980
417|Lukachukai Wash||
418|Mail Station Draw|Y|02/08/1980
419|Martinez Creek|Y|02/08/1980
420|Martinez Draw|Y|02/08/1980
420|White Horse Draw||
421|Martinez Wash|Y|02/08/1980
422|Morgan Wash|Y|02/08/1980
423|Nazlini Creek|Y|02/08/1980
423|Nashklini Creek||
423|Nashlini Creek||
424|Peck Wash|Y|02/08/1980
424|Big Springs Wash||
424|Big Spring||
424|Bryce Wash||
425|Pearce Ferry|Y|02/08/1980
425|Colorado Crossing||
425|Pierce Ferry||
426|Point Sublime|Y|06/27/1984
426|Sublime Point||
427|Potter Mesa|Y|05/19/2008
427|Potter Ridge||05/19/2008
428|Quilotosa Wash|Y|02/08/1980
429|Black Mesa|Y|02/08/1980
430|Black Mesa|Y|02/08/1980
430|Manganese Mesa||
431|Black Mesa|Y|02/08/1980
432|Guild Wash|Y|02/08/1980
434|Two Hundred and Twentyeightmile Canyon|Y|02/08/1980
435|San Simon River|Y|02/08/1980
435|Rio San Domingo||
435|Rio Sauz||
435|Rio Suez||
435|Rio de Sauz||
435|Rio de Sonoca||
435|Rio de Suanca||
435|San Simon Creek||
435|San Simon Wash||
435|Sauz River||
435|Solomonville Wash||
435|Suauca||
436|Sandoval Draw|Y|02/08/1980
436|Sandeval Draw||
437|Seba Dalkai School|Y|02/08/1980
438|Skunk Camp Wash|Y|02/08/1980
439|Skunk Canyon|Y|02/08/1980
440|South Side Canal|Y|02/08/1980
441|Standing Redrock Creek|Y|02/08/1980
441|Standing Red Rock Creek||
442|Stone Cabin Wash|Y|02/08/1980
443|Seven Springs Wash|Y|02/08/1980
443|Surprise Creek||
444|Yucca Mine|Y|05/01/2006
445|Tenmile Wash|Y|02/08/1980
445|Childs Wash||
445|Rio Cornez Wash||
445|Rio Cornez||
445|Rio Tenmile Wash||
446|Texas Hill Canal|Y|02/08/1980
447|Tule Wells Canyon|Y|02/08/1980
448|Tule Wells Draw|Y|02/08/1980
449|Twin Spring Canyon|Y|02/08/1980
449|Surprise Canyon||
449|Twin Springs Canyon||
450|Uinkaret Plateau|Y|02/08/1980
450|Antelope Plains||
450|Wonsits Plateau||
450|Wonsits Tiravu||
451|United States Geological Survey Magnetic Observatory|Y|02/08/1980
452|Valley View Canyon|Y|02/08/1980
453|Walthenberg Canyon|Y|02/08/1980
453|Waltenburg Canyon||
453|Walthenburg Canyon||
454|Warm Springs Canyon|Y|02/08/1980
454|Warm Spring Canyon||
455|Warm Springs Wash|Y|02/08/1980
456|Wellton Mohawk Canal|Y|02/08/1980
457|A Ninetysix Spring|Y|02/08/1980
458|A Canal|Y|02/08/1980
459|A D Wash|Y|02/08/1980
460|A K Ranch|Y|02/08/1980
461|A-Diamond Ranch|Y|02/08/1980
462|A-one Basin|Y|02/08/1980
463|A-eighty Tank|Y|02/08/1980
464|A-eightyone Tank|Y|02/08/1980
465|A-ninetyone Spring|Y|02/08/1980
466|Aasayii Wash|Y|02/08/1980
467|Abbot Canyon|Y|02/08/1980
468|Abbot Windmill|Y|02/08/1980
469|Abdoul Canyon|Y|02/08/1980
470|Abe Lincoln Mine|Y|02/08/1980
471|Adobe Creek|Y|02/08/1980
471|Abode Creek||
472|Abrigo Canyon|Y|02/08/1980
473|Abril Mine|Y|02/08/1980
474|Acorn Tank|Y|02/08/1980
475|Acorn Well|Y|02/08/1980
476|Acuna Well|Y|02/08/1980
477|Adadka Spring|Y|02/08/1980
478|Adahchijiyahi Canyon|Y|02/08/1980
479|Adamana|Y|02/08/1980
480|Adams Butte|Y|02/08/1980
481|Adams Canyon|Y|02/08/1980
482|Adams Flat|Y|02/08/1980
483|Adams Mine|Y|02/08/1980
484|Adams Peak|Y|02/08/1980
485|Adams Ranch|Y|02/08/1980
486|Adams Ranch|Y|02/08/1980
487|Adams School|Y|02/08/1980
488|Adams Well|Y|02/08/1980
489|Adams Well|Y|02/08/1980
490|Additional Hill|Y|02/08/1980
491|Adeii Eechii Cliffs|Y|02/08/1980
492|Adobe|Y|02/08/1980
493|Adobe Canyon|Y|03/05/2009
494|Adobe Flats|Y|02/08/1980
495|Adobe Lake|Y|02/08/1980
