field_name,field_example,field_type,field_description
Name,HINES CORNER,character,"The modified name of a post office based on Helbock's original transcription, optimized for finding matches within the GNIS database (often this means punctuation has been removed from the original transcription)."
AltName,HINES'S CORNER,character,Alternative name formats for Helbock's original transcription of a post office name.
OrigName,HINES('S) CORNER,character,The original name of a post office transcribed by Richard Helbock.
State,PA,character,State in which the post office was located.
County1,WAYNE,character,Primary county in which the post office was located
County2,,character,"Helbock sometimes recorded multiple counties for a single post office - ex. ""Piscataquia/Somerset"" - so I divided those into multiple fields"
County3,,character,"Helbock sometimes recorded multiple counties for a single post office - ex. ""Piscataquia/Somerset"" - so I divided those into multiple fields "
OrigCounty,Wayne,character,The original county in which the post office was located as transcribed by Richard Helbock
Established,1873,integer,"The year in which a post office was established. Sometimes this can represent the year in which a post office re-opened after being closed for ten years or more, or the year in which the same post office started operating under a new name. See Data Biography for more information."
Discontinued,1896,numeric,The year in which a post office was discontinued. Sometimes this can represent the year in which a post office stopped operating under a particular name and started operating under a new name. See Data Biography for more information.
Continuous,TRUE,logical,"Did the post office operate continuously between its Established and Discontinued dates? Many post offices temporarily closed before re-opening (sometimes multiple times). For post offices that closed and then re-opened less than ten years later, Helbock did not create a separate record but used this field to note that it was operating continously between its established and discontinued date."
StampIndex,5,character,"The Stamp Scarcity index, on a scale of 0-9: this was an arbitrary field designated by Helbock to indicate how rare a postmark was that originated from that post office.  "
ID,26772,integer,A unique ID assigned by Helbock to each post office record
Coordinates,TRUE,logical,Was a post office successfully geolocated?
Duration,23,numeric,"This is a calculated field representing how long a post office operated for (its Discontinued year minus its Established year). Note that some post offices never shut down, and therefore have a blank value for this field."
GNIS.Match,TRUE,logical,Was a post office successfully matched to a feature within the GNIS database?
GNIS.Name,HINES CORNERS,character,The modified name of the GNIS feature that was successfully matched to the post office field of Name or AltName.
GNIS.County,WAYNE,character,"The modified county of the GNIS feature that was successfully matched to the post office field of County1, County2, or County3."
GNIS.State,PA,character,The state of the GNIS feature that was successfully matched to the post office field of State.
GNIS.FEATURE_ID,1177135,integer,The unique ID of the GNIS feature within the GNIS database.
GNIS.Feature.Class,Locale,character,"The type of feature class of the GNIS feature. These are categories of locations, ex. ""Post Office"", ""Populated Place"", etc."
GNIS.OrigName,Hines Corners,character,The original spelling of the name of the GNIS feature that was successfully matched to the post office field of Name or AltName.
GNIS.OrigCounty,Wayne,character,"The original spelling of the county of the GNIS feature that was successfully matched to the post office field of County1, County2, or County3."
GNIS.Latitude,41.82286,numeric,The latitude of the GNIS feature in decimal degrees
GNIS.Longitude,-75.44824,numeric,The longitude of the GNIS feature in decimal degrees
GNIS.ELEV_IN_M,619,integer,The elevation of the GNIS feature in meters
GNIS.MatchScore,0.9166667,numeric,"A fuzzy matching score between 0.75 to 1 that was generated from the ""Levenshtein distance"" between the name of the post office and the name of the GNIS feature. A score of 1 is a perfect match. This is based on the length of the post office name. In this example, the post office name ""HINES CORNER"" is 12 characters long. To ""fuzzy match"" to ""HINES CORNERS"" required one change (adding ""S""). 12 total characters minus (1 change/12 total characters) = 0.91667. I used a score threshold of 0.75, meaning that any potential matches that fell below this score were discarded."
Latitude,41.82286,numeric,The best inference for the latitude of a post office in decimal degrees
Longitude,-75.44824,numeric,The best inference for the latitude of a post office in decimal degrees
RandomCoordsFlag,FALSE,logical,This field only appears in us-post-offices-random-coords.csv. It is a marker for whether or not the values for Latitude and Longitude were generated from GNIS features or whether they were assigned from a list of randomly distributed points in the surrounding county. Any records marked TRUE mean that the coordinates for that record are semi-random and should be treated as such.
